SampleID,PC1,PC2,PC3,PC4,PC5
TCGA-A8-A08C,4.9832,3.4029,-2.3035,-0.79141,0.14201
TCGA-A8-A08F,4.9116,5.4897,-5.0502,4.7955,0.030115
TCGA-A8-A08G,5.2835,3.419,0.40218,3.3017,-0.050699
TCGA-A8-A08H,-4.6709,-6.1492,0.60816,5.0784,-2.6084
TCGA-A8-A08I,3.4936,3.8637,-0.36001,-0.040115,-8.5917
TCGA-A8-A08J,3.4962,0.71337,-4.44,0.88146,2.8744
TCGA-A8-A08L,-0.88273,3.6983,-4.05,0.93605,-0.12683
TCGA-A8-A08O,3.2016,-2.3129,6.6394,2.9613,3.3927
TCGA-A8-A08P,0.12735,0.98835,-5.4817,1.4478,-1.0426
TCGA-A8-A08R,-14.1308,2.838,0.1627,4.8049,0.28234
TCGA-A8-A08T,5.5346,0.89121,-1.2737,0.57416,0.87798
TCGA-A8-A08X,-8.7686,-0.47146,-7.7922,1.1821,3.4909
TCGA-A8-A08Z,1.4568,-1.0192,-2.5804,7.5933,2.6104
TCGA-A8-A090,3.155,1.3063,1.5174,4.9993,-0.62826
TCGA-A8-A091,6.9618,2.885,3.7178,3.1662,-0.68747
TCGA-A8-A092,2.8844,0.59652,-2.6737,-2.0926,1.4366
TCGA-A8-A093,7.8835,-0.14723,2.4726,2.9168,2.4452
TCGA-A8-A094,-2.8371,-1.4686,-7.8189,-4.0153,-0.16932
TCGA-A8-A095,3.6562,-4.5589,0.58104,-3.1283,-0.21552
TCGA-A8-A096,6.5709,-0.3649,-3.5046,5.2941,0.15044
TCGA-A8-A097,-0.3046,-4.8024,-0.22016,2.4378,2.093
TCGA-A8-A099,9.6121,4.7765,-3.0436,-0.51723,-0.0621
TCGA-A8-A09A,0.8154,-2.9269,4.0142,3.3881,1.0349
TCGA-A8-A09B,7.0674,-3.6967,2.167,-0.11526,0.72271
TCGA-A8-A09C,6.6716,1.9246,0.44978,1.2625,1.3215
TCGA-A8-A09D,2.7726,0.070181,-2.3634,7.8949,-0.95084
TCGA-A8-A09G,-0.68213,0.5609,-6.7164,-4.1129,-4.4414
TCGA-A8-A09I,2.2204,1.5656,-6.7248,-1.0042,-0.9787
TCGA-A8-A09M,6.319,7.5175,-2.65,2.8127,-2.9915
TCGA-A8-A09N,5.2209,3.4265,-1.0034,0.51048,-0.43451
TCGA-A8-A09Q,6.1802,2.1889,-2.9605,3.6567,-2.0957
TCGA-A8-A09R,4.1731,0.26973,-1.2334,4.3892,0.54772
TCGA-A8-A09T,4.5247,0.14235,0.80385,-0.08647,4.0183
TCGA-A8-A09V,8.0051,-0.90961,3.2846,2.4421,2.4173
TCGA-A8-A09W,4.7158,2.9382,-6.9347,1.8955,-1.8057
TCGA-A8-A09X,-2.5881,0.23298,-10.4554,0.066235,-2.3065
TCGA-A8-A09Z,3.0119,11.3383,-5.4324,3.2391,-3.2223
TCGA-A8-A0A1,6.2513,-4.8665,-1.1119,2.7322,-3.8971
TCGA-A8-A0A2,6.741,0.53428,1.5423,1.7934,2.2476
TCGA-A8-A0A4,1.002,-5.1163,4.9032,-2.4486,-0.053931
TCGA-A8-A0A6,0.14191,-7.3047,-0.07217,-4.0014,-3.7033
TCGA-A8-A0A7,-3.4237,-2.5284,-5.6633,3.785,-3.1067
TCGA-A8-A0A9,6.9639,2.6622,-3.7749,3.7239,0.81008
TCGA-A8-A0AB,4.3124,0.61859,2.9287,-1.0581,3.6569
TCGA-A8-A0AD,9.7493,1.43,-1.4313,4.6474,2.395
TCGA-AN-A03X,6.6821,-2.4849,-4.7938,4.2825,3.3022
TCGA-AN-A03Y,3.8505,3.6503,-1.5398,0.55335,-1.5084
TCGA-AN-A041,3.9555,1.9461,0.47616,4.292,3.1671
TCGA-AN-A046,4.2279,-2.1348,-3.3967,0.77204,-1.6989
TCGA-AN-A049,4.4402,-2.6983,0.20746,1.3874,-1.2555
TCGA-AN-A04A,1.8802,-5.034,2.0166,-0.71429,5.3268
TCGA-AN-A04C,-4.8453,0.67339,-5.9401,-8.1719,0.7254
TCGA-AN-A04D,-11.9102,10.4083,3.0307,-4.425,4.2595
TCGA-AN-A0AJ,1.107,5.0751,-5.4142,3.2947,-2.0644
TCGA-AN-A0AK,3.9043,11.796,-3.2402,0.22156,0.25458
TCGA-AN-A0AL,-10.5437,-1.0761,-0.50792,1.888,0.67493
TCGA-AN-A0AM,-1.9955,-1.1229,-4.7058,-3.3836,1.0288
TCGA-AN-A0AR,-11.9099,6.8587,5.5818,-2.5339,3.4166
TCGA-AN-A0AS,0.4292,-0.50729,-7.7299,1.1522,3.058
TCGA-AN-A0AT,-16.3314,5.9084,4.2014,0.41195,2.1774
TCGA-AN-A0FD,3.4014,-0.47454,0.32858,1.83,3.5031
TCGA-AN-A0FF,8.4472,1.0306,0.51194,3.0405,-3.4323
TCGA-AN-A0FJ,-14.1332,3.8184,5.2737,1.4395,5.0869
TCGA-AN-A0FK,9.6622,2.7378,-3.0323,-3.6722,-0.65928
TCGA-AN-A0FL,-9.6625,6.0082,-0.81967,-6.1149,1.5872
TCGA-AN-A0FN,2.8256,-8.4859,-2.6201,5.4629,-0.62322
TCGA-AN-A0FS,4.316,-7.1214,4.4793,-0.91928,0.19304
TCGA-AN-A0FT,2.9628,0.48587,-7.4942,-1.8659,1.8177
TCGA-AN-A0FV,-1.2338,-0.14519,-5.7787,-1.8097,6.2625
TCGA-AN-A0FW,5.1383,-0.064201,3.6244,-0.4886,-1.1616
TCGA-AN-A0FX,-12.3451,-3.1979,5.7657,0.15531,3.5621
TCGA-AN-A0FY,2.3275,2.1316,0.87775,4.3824,2.2126
TCGA-AN-A0FZ,4.18,2.1752,0.43528,1.8526,3.0712
TCGA-AN-A0G0,-10.8197,6.4334,-0.18231,2.2395,3.1443
TCGA-AN-A0XL,3.3898,-6.0297,3.2794,1.7468,-0.84738
TCGA-AN-A0XN,-0.61988,-3.0317,-5.7655,6.7866,4.6835
TCGA-AN-A0XO,2.1541,-5.1824,0.88307,-3.4241,5.5555
TCGA-AN-A0XP,8.2201,0.15236,-2.7063,-2.0618,-0.2761
TCGA-AN-A0XR,7.2083,4.1256,-3.3438,-2.0308,1.6203
TCGA-AN-A0XS,3.7788,-4.2583,0.027361,4.3456,0.29379
TCGA-AN-A0XT,5.7696,2.0036,5.7377,-0.28548,-1.4581
TCGA-AN-A0XU,-15.1565,3.2969,2.3644,0.50021,0.62343
TCGA-AN-A0XV,4.1719,-4.5531,0.58924,0.67575,-1.0917
TCGA-AN-A0XW,1.4863,-4.42,-2.1447,2.2846,2.5172
TCGA-AO-A03L,2.4009,-2.9868,-0.049178,-0.93674,0.74736
TCGA-AO-A03O,0.48533,5.0982,-2.926,0.25169,-5.6403
TCGA-AO-A03P,5.0292,9.2874,1.3418,2.3935,1.382
TCGA-AO-A03R,0.805,-2.3227,4.8461,-5.3477,-4.4298
TCGA-AO-A03T,2.0563,-3.2415,3.7807,-6.5902,-2.3485
TCGA-AO-A03V,3.1369,-0.747,2.9637,-0.2097,-0.28726
TCGA-AO-A0J2,-5.7632,1.4293,-9.8528,-5.4207,-1.7196
TCGA-AO-A0J3,7.3134,13.4062,4.2182,-0.26248,-0.86657
TCGA-AO-A0J4,-15.8918,0.41463,3.4671,2.485,1.4169
TCGA-AO-A0J6,-15.9334,4.67,0.34214,-2.8197,-3.1955
TCGA-AO-A0J7,6.4232,5.1064,3.5041,-1.993,2.2357
TCGA-AO-A0J8,5.0839,-2.4049,-3.5953,0.43389,-1.8868
TCGA-AO-A0J9,-0.33714,-6.0941,1.2723,2.121,-3.4461
TCGA-AO-A0JA,2.4849,-5.1711,-0.85143,0.77186,0.60987
TCGA-AO-A0JB,-3.3221,-5.5251,1.0663,-9.419,-0.48594
TCGA-AO-A0JC,-3.9084,-0.23122,1.6179,2.1043,-8.6889
TCGA-AO-A0JD,-1.4629,0.8906,1.5484,-4.883,-3.2135
TCGA-AO-A0JE,-2.6248,-7.4983,-9.0086,-1.8752,1.043
TCGA-AO-A0JF,3.8838,-8.6738,0.40714,2.1959,-1.3691
TCGA-AO-A0JG,2.6665,-1.7377,4.8097,1.4122,-2.8197
TCGA-AO-A0JI,8.3265,6.8303,7.1323,0.92407,-2.8781
TCGA-AO-A0JJ,2.4184,-7.8496,3.3231,-1.3366,-3.9828
TCGA-AO-A0JL,-10.5434,1.4695,3.7031,-3.8117,2.6257
TCGA-AO-A0JM,5.3616,-0.74501,-5.5157,1.4204,2.3895
TCGA-AO-A124,-16.7175,4.3923,3.975,-4.0676,1.2915
TCGA-AO-A125,8.7957,8.6647,1.3248,-11.0938,-1.3963
TCGA-AO-A126,5.6436,0.51231,-3.1775,2.3971,3.0997
TCGA-AO-A128,-10.913,5.8806,-4.4931,3.2242,-9.7622
TCGA-AO-A129,-14.5605,0.079234,0.80432,-0.61345,-0.8315
TCGA-AO-A12A,1.4072,-8.524,4.7979,-1.9929,-1.4536
TCGA-AO-A12B,9.2024,9.3434,1.6319,-2.4786,-3.0663
TCGA-AO-A12C,4.0182,-3.5173,3.5102,2.5387,4.854
TCGA-AO-A12D,-5.0592,-5.2715,-9.956,-2.6645,0.65461
TCGA-AO-A12E,2.9481,-7.0771,4.4186,-3.7472,-4.0714
TCGA-AO-A12F,-12.3133,0.73601,4.5156,1.8208,3.0638
TCGA-AO-A12G,3.0437,-3.3787,-0.18974,-2.8855,2.253
TCGA-AO-A12H,9.9444,9.9911,2.1225,1.3595,-0.18582
TCGA-AQ-A04J,-13.2963,-4.5042,3.0676,-0.7502,-1.404
TCGA-AR-A0TP,-13.1808,5.5353,6.6579,-0.18678,7.2886
TCGA-AR-A0TQ,3.0806,2.9845,-0.60963,3.2396,-2.4746
TCGA-AR-A0TR,11.3541,12.7488,4.4844,-4.0955,-5.8717
TCGA-AR-A0TS,-13.8651,-0.0033902,4.3487,4.8914,-1.568
TCGA-AR-A0TT,0.068297,2.692,-5.2083,8.0745,-3.8916
TCGA-AR-A0TU,-15.8228,11.5783,1.1338,0.78447,-5.1128
TCGA-AR-A0TV,5.4196,12.3577,-0.5758,4.7709,-4.2538
TCGA-AR-A0TW,3.3819,8.9261,-3.4532,3.3205,-1.3421
TCGA-AR-A0TX,-0.52954,-1.9314,-7.1243,1.8531,-3.3117
TCGA-AR-A0TY,1.7635,7.3733,1.0873,0.49329,1.4072
TCGA-AR-A0TZ,6.7094,5.5887,2.8346,4.9524,2.2009
TCGA-AR-A0U0,-14.6392,5.2645,-2.6878,-0.15372,-2.6996
TCGA-AR-A0U2,4.2404,9.4606,-0.56431,3.1165,-1.3039
TCGA-AR-A0U3,4.8547,2.1504,0.85287,-2.0008,-1.7361
TCGA-AR-A0U4,-12.3576,3.0889,-1.1239,4.6558,-5.119
TCGA-AR-A1AH,-12.2539,6.2635,1.1256,-0.19363,3.1904
TCGA-AR-A1AI,-15.1998,6.5928,0.17338,0.72674,-3.9568
TCGA-AR-A1AJ,-13.2804,-0.98362,-0.70664,5.686,-7.0929
TCGA-AR-A1AK,1.8233,-5.5444,3.6409,-0.55171,-4.5413
TCGA-AR-A1AL,1.2652,-8.1106,5.2264,-0.52628,-1.045
TCGA-AR-A1AN,5.5078,-3.5409,-2.5451,2.7423,-0.74973
TCGA-AR-A1AO,-7.6344,-8.9565,-2.2193,-0.05011,-3.9031
TCGA-AR-A1AP,0.57881,-3.6624,-1.0594,0.23599,-0.50809
TCGA-AR-A1AQ,-15.1276,1.8993,-1.5078,0.78294,-1.9346
TCGA-AR-A1AR,-11.5014,2.3249,0.46165,8.4923,-4.6521
TCGA-AR-A1AS,2.6918,0.14368,-4.1939,-5.7586,6.4067
TCGA-AR-A1AT,-1.6479,-1.1165,-9.4228,-2.5765,-2.4792
TCGA-AR-A1AU,0.95775,-5.7869,5.7753,0.64408,0.21921
