SampleID,PC1,PC2,PC3,PC4,PC5
TCGA-A8-A09I,2.2795,1.5521,-6.7847,-0.97667,-1.0393
TCGA-A8-A09M,6.3815,7.554,-2.7144,2.8225,-3.0114
TCGA-A8-A09N,5.248,3.4356,-1.0173,0.51248,-0.45751
TCGA-A8-A09Q,6.2283,2.1842,-3.042,3.6924,-2.1449
TCGA-A8-A09R,4.185,0.23175,-1.2631,4.4338,0.57648
TCGA-A8-A09T,4.5061,0.086895,0.8799,-0.078924,4.086
TCGA-A8-A09V,7.9835,-0.94811,3.324,2.4465,2.4564
TCGA-A8-A09W,4.7852,2.9122,-7.0327,1.932,-1.9176
TCGA-A8-A09X,-2.514,0.19544,-10.5784,0.11159,-2.4423
TCGA-A8-A09Z,3.0931,11.3631,-5.5306,3.257,-3.3064
TCGA-A8-A0A1,6.2878,-4.8436,-1.2134,2.7445,-3.9293
TCGA-A8-A0A2,6.734,0.50145,1.5744,1.8046,2.2838
TCGA-A8-A0A4,0.96654,-5.0813,4.947,-2.4859,-0.01663
TCGA-A8-A0A6,0.15645,-7.2395,-0.12099,-4.0306,-3.7384
TCGA-A8-A0A7,-3.3833,-2.5532,-5.7841,3.8376,-3.1667
TCGA-A8-A0A9,7.0011,2.6101,-3.8103,3.7652,0.80556
TCGA-A8-A0AB,4.2818,0.58437,3.005,-1.069,3.6729
TCGA-A8-A0AD,9.7653,1.3602,-1.4352,4.6928,2.4125
TCGA-AN-A03X,6.6997,-2.5957,-4.8088,4.354,3.3127
TCGA-AN-A03Y,3.8856,3.6684,-1.5771,0.5564,-1.5482
TCGA-AN-A041,3.9417,1.8799,0.51203,4.3288,3.2019
TCGA-AN-A046,4.2671,-2.1372,-3.4531,0.78626,-1.7216
TCGA-AN-A049,4.4518,-2.6876,0.1817,1.3963,-1.2253
TCGA-AN-A04A,1.832,-5.1045,2.1199,-0.69168,5.4207
TCGA-AN-A04C,-4.817,0.67914,-5.9245,-8.1916,0.62347
TCGA-AN-A04D,-11.9661,10.4073,3.169,-4.4814,4.2642
TCGA-AN-A0AJ,1.1639,5.0617,-5.5031,3.3398,-2.1282
TCGA-AN-A0AK,3.9538,11.8066,-3.2471,0.23585,0.20254
TCGA-AN-A0AL,-10.5749,-1.1108,-0.49834,1.8938,0.68838
TCGA-AN-A0AM,-1.9752,-1.1415,-4.6927,-3.3667,1.0284
TCGA-AN-A0AR,-11.9831,6.8664,5.7108,-2.5812,3.4457
TCGA-AN-A0AS,0.45589,-0.60983,-7.7378,1.2092,3.0174
TCGA-AN-A0AT,-16.3999,5.9027,4.2808,0.39646,2.2146
TCGA-AN-A0FD,3.3861,-0.53266,0.38959,1.8489,3.5712
TCGA-AN-A0FF,8.4844,1.0774,0.44846,3.0356,-3.4396
TCGA-AN-A0FJ,-14.227,3.7592,5.3902,1.4323,5.1556
TCGA-AN-A0FK,9.7159,2.7726,-3.0277,-3.7068,-0.716
TCGA-AN-A0FL,-9.6762,6.0304,-0.73325,-6.1758,1.5656
TCGA-AN-A0FN,2.8331,-8.5522,-2.7018,5.5138,-0.6336
TCGA-AN-A0FS,4.2838,-7.1069,4.5043,-0.94859,0.21695
TCGA-AN-A0FT,3.0065,0.43036,-7.5014,-1.8407,1.7523
TCGA-AN-A0FV,-1.239,-0.26538,-5.7108,-1.7704,6.2477
TCGA-AN-A0FW,5.1335,-0.01838,3.6371,-0.51103,-1.1576
TCGA-AN-A0FX,-12.4405,-3.2339,5.8646,0.14233,3.6352
TCGA-AN-A0FY,2.3138,2.0788,0.89131,4.4182,2.2417
TCGA-AN-A0FZ,4.169,2.1284,0.47622,1.886,3.1004
TCGA-AN-A0G0,-10.8589,6.3738,-0.1236,2.2434,3.1411
TCGA-AN-A0XL,3.368,-6.025,3.2601,1.7427,-0.85053
TCGA-AN-A0XN,-0.62488,-3.1966,-5.7848,6.8868,4.7134
TCGA-AN-A0XO,2.1138,-5.2492,0.99262,-3.4197,5.6196
TCGA-AN-A0XP,8.2615,0.16381,-2.71,-2.0779,-0.28578
TCGA-AN-A0XR,7.247,4.109,-3.3166,-2.0399,1.6199
