ID,1,2,3,4,5,6
TCGA-A8-A09B,9.6017,102.2792,116.4288,111.6945,20.2513,24.0332
TCGA-A8-A09C,2.2079,51.9618,90.425,113.6524,20.208,116.7738
TCGA-A8-A09D,39.6256,83.4934,204.7521,0,72.1142,52.9045
TCGA-A8-A09G,15.4678,0,42.0829,86.1542,239.7451,17.2651
TCGA-A8-A09I,0.3365,10.5666,81.84,28.2397,263.7469,42.8656
TCGA-A8-A09M,8.8224,78.1463,40.5215,69.2752,85.9023,61.6852
TCGA-A8-A09N,3.3227,51.271,85.5704,101.6426,112.8865,24.9781
TCGA-A8-A09Q,9.0181,55.3129,86.4582,123.4019,60.9852,114.0409
TCGA-A8-A09R,22.1365,78.8208,191.8629,44.1697,88.0158,0
TCGA-A8-A09T,14.537,73.3957,119.3079,82.6737,24.0834,55.7986
TCGA-A8-A09V,13.9441,32.2546,143.4353,152.0099,0,10.5167
TCGA-A8-A09W,0,0.0335,66.9964,90.7594,206.9791,67.0128
TCGA-A8-A09X,31.7799,0,102.2027,28.5274,156.4793,141.5174
TCGA-A8-A09Z,52.2969,2.7778,22.825,125.4673,113.8347,57.9507
TCGA-A8-A0A1,55.0438,16.2712,153.2855,147.874,25.098,0.3165
TCGA-A8-A0A2,6.1485,36.0139,116.9293,182.844,8.2701,32.1013
TCGA-A8-A0A4,78.2178,13.7875,73.3456,150.474,11.0161,56.6287
TCGA-A8-A0A6,65.2237,0.3953,49.0854,160.8904,89.6699,20.9954
TCGA-A8-A0A7,59.7203,0.1981,171.1779,1.0412,176.3734,93.68
TCGA-A8-A0A9,9.4868,38.9903,117.8711,134.4447,53.6381,59.1221
TCGA-A8-A0AB,41.5507,36.4267,68.1841,135.1484,20.4154,22.2907
TCGA-A8-A0AD,2.6373,10.2189,201.3859,162.9329,40.8195,24.1085
TCGA-AN-A03X,0,26.3926,418.0097,60.4404,64.7291,87.6889
TCGA-AN-A03Y,19.3693,86.4818,38.3958,69.6125,12.3017,190.8968
TCGA-AN-A041,2.0536,250.9142,224.817,0,0.1967,0
TCGA-AN-A046,3.3852,0.1844,128.5405,215.2273,26.8137,166.8312
TCGA-AN-A049,19.0413,27.0884,143.3578,125.5092,97.7262,40.8829
TCGA-AN-A04A,34.007,105.4515,278.7655,15.5344,17.864,129.4759
TCGA-AN-A04C,17.6831,0,15.9822,0,191.1612,249.2534
TCGA-AN-A04D,182.4519,12.1747,0,0,20.2197,82.9027
TCGA-AN-A0AJ,71.2612,33.7179,60.7721,20.7066,115.1293,108.9851
TCGA-AN-A0AK,33.4244,96.6084,18.3755,0,104.4998,86.6581
TCGA-AN-A0AL,232.8346,0.1228,143.9197,14.6429,13.391,22.2236
TCGA-AN-A0AM,64.0743,26.3399,108.6641,22.2795,185.0651,95.4162
TCGA-AN-A0AR,157.1788,0.1623,9.4904,0,0,239.0809
TCGA-AN-A0AS,46.6064,0.03,292.3751,64.3963,51.4782,158.0338
TCGA-AN-A0AT,224.9614,0.0676,19.8339,0,0.0066,115.0305
TCGA-AN-A0FD,17.2717,74.7402,227.188,71.8281,0,166.352
TCGA-AN-A0FF,14.7714,103.3849,100.2427,82.1545,40.5761,18.7017
TCGA-AN-A0FJ,223.4325,1.5518,41.0243,0.6141,0,79.3765
TCGA-AN-A0FK,8.5306,0.2701,61.9173,277.84,27.2591,50.7432
TCGA-AN-A0FL,168.4443,0.0002,2.2472,2.8278,86.1254,135.6012
TCGA-AN-A0FN,42.0084,0.0618,464.3922,71.5836,0.0006,84.063
TCGA-AN-A0FS,19.591,10.4546,164.4498,158.8985,0,79.993
TCGA-AN-A0FT,0,0.3144,90.9657,22.157,214.5336,162.928
TCGA-AN-A0FV,6.6974,0.1528,177.099,7.488,273.9397,39.5792
TCGA-AN-A0FW,4.9193,176.1968,76.6004,43.1942,0,116.6663
TCGA-AN-A0FX,217.4812,0.6481,95.1717,0.3535,0,82.8121
TCGA-AN-A0FY,50.1517,105.0111,146.3534,2.117,15.6864,72.1485
TCGA-AN-A0FZ,0,102.8921,114.6061,5.8402,148.3234,36.3924
TCGA-AN-A0G0,226.6539,4.8504,54.0782,4.5584,37.1265,22.3745
TCGA-AN-A0XL,32.674,0.835,153.4147,150.5901,32.7614,26.1524
TCGA-AN-A0XN,69.1272,0,473.4709,29.5189,39.7519,66.0868
TCGA-AN-A0XO,37.2842,20.633,141.0885,137.4825,41.5986,102.5894
TCGA-AN-A0XP,1.8606,0.9936,93.7116,219.6207,81.9771,0
TCGA-AN-A0XR,1.7977,0.0082,66.1245,147.452,111.3888,41.0236
TCGA-AN-A0XS,18.4567,58.5738,185.9076,71.2674,25.4013,51.4578
TCGA-AN-A0XT,8.5466,118.6693,31.3918,78.3174,0,84.2752
TCGA-AN-A0XU,256.4181,0,22.0705,1.4397,27.1319,16.606
TCGA-AN-A0XV,34.7082,86.7034,115.3567,95.0553,4.3784,38.6685
TCGA-AN-A0XW,60.4181,7.3248,265.7171,35.6268,91.7392,55.5544
TCGA-AO-A03L,8.9856,37.0963,136.2138,38.9931,128.4649,92.9612
TCGA-AO-A03O,47.2409,41.9594,17.6024,56.1939,144.9007,40.0359
TCGA-AO-A03P,3.4907,196.7948,39.4719,0.0337,0.648,153.2911
TCGA-AO-A03R,30.8809,77.3447,12.5756,45.4519,19.8528,228.421
TCGA-AO-A03T,8.2921,60.6437,22.4339,38.2537,119.495,177.4997
TCGA-AO-A03V,27.8572,24.1814,76.7286,154.5448,21.8948,67.3733
TCGA-AO-A0J2,51.9155,0,31.7163,17.2833,241.0113,76.8465
TCGA-AO-A0J3,0.0005,201.8446,4.9853,1.8334,5.8435,45.2632
TCGA-AO-A0J4,279.1805,0,62.5289,0,0.0377,36.5603
TCGA-AO-A0J6,257.0665,0.0051,9.164,2.876,5.7313,47.4359
TCGA-AO-A0J7,0.0004,100.6901,51.9209,110.8012,0,131.7952
TCGA-AO-A0J8,26.224,0,117.5517,213.3221,20.3688,47.8816
TCGA-AO-A0J9,48.1694,0.0098,154.4099,67.4313,0,277.2377
TCGA-AO-A0JA,30.8055,11.013,223.3407,109.1862,75.53,14.5321
TCGA-AO-A0JB,20.0155,0.0022,22.1231,52.4675,18.6066,478.1625
TCGA-AO-A0JC,136.5241,0.0018,16.7592,30.2263,0,118.4015
TCGA-AO-A0JD,75.4755,16.918,6.2609,82.5274,116.4207,71.7131
TCGA-AO-A0JE,45.8696,0.0076,254.1129,45.2242,175.983,46.8161
TCGA-AO-A0JF,37.0837,0.0306,243.3357,169.8363,0,32.3474
TCGA-AO-A0JG,33.4907,137.0834,96.4196,49.7431,0,15.5171
TCGA-AO-A0JI,0.5705,255.8974,14.079,10.3313,0,0
TCGA-AO-A0JJ,44.8737,1.9069,132.699,137.9679,13.0117,84.9616
TCGA-AO-A0JL,107.832,0.7726,34.6672,0,21.7212,286.0372
TCGA-AO-A0JM,0,3.7589,212.7331,44.8848,192.7424,56.2345
TCGA-AO-A124,261.2183,0.0014,3.7679,1.3991,0.0033,85.1097
TCGA-AO-A125,0.0001,0.0158,2.0499,214.4179,5.1686,113.7537
TCGA-AO-A126,0,21.4469,231.6118,63.0137,0,251.7782
TCGA-AO-A128,262.4782,0.001,20.6275,25.3946,8.5522,0
TCGA-AO-A129,202.9739,0,35.86,0,0.0789,146.2135
TCGA-AO-A12A,59.9184,0.6527,104.0366,141.4821,0,74.8375
TCGA-AO-A12B,1.5849,6.8208,5.2575,287.0078,16.8258,70.0557
TCGA-AO-A12C,1.9072,59.7532,297.1742,80.7578,13.1893,123.7757
TCGA-AO-A12D,16.1546,0.0014,146.9439,0.001,336.2165,31.1454
TCGA-AO-A12E,41.3066,28.7646,49.1419,149.2672,64.5362,20.7093
TCGA-AO-A12F,170.874,0.0042,76.5484,0,7.59,151.8593
TCGA-AO-A12G,5.7107,48.7878,106.3812,100.2878,44.3054,156.4723
TCGA-AO-A12H,0,269.047,19.2205,18.5176,0,45.1245
TCGA-AQ-A04J,231.9293,0.0025,67.1663,6.2009,0,56.0461
TCGA-AR-A0TP,280.0569,0,24.8999,3.5828,0,61.3236
TCGA-AR-A0TQ,1.1049,121.2179,67.2364,0,190.4058,18.3355
TCGA-AR-A0TR,0,165.0642,1.5516,91.0157,0,20.5436
TCGA-AR-A0TS,234.2331,0.0154,65.1221,5.6873,12.6844,0
TCGA-AR-A0TT,105.7059,25.5871,114.9269,24.7333,49.3026,34.0039
TCGA-AR-A0TU,179.8449,0,0,0,0,131.5618
TCGA-AR-A0TV,67.0685,144.3943,11.4042,32.8965,12.4253,30.4611
TCGA-AR-A0TW,20.3825,53.7123,38.2109,56.8243,158.0232,22.2534
TCGA-AR-A0TX,26.3185,0.0592,118.4966,19.3564,229.1253,38.5901
TCGA-AR-A0TY,49.7038,194.0178,32.9901,0,2.9293,72.1362
TCGA-AR-A0TZ,3.7721,167.1781,95.0067,42.2879,4.9037,0
TCGA-AR-A0U0,244.8283,0.0004,17.834,1.2345,37.5055,0
TCGA-AR-A0U2,32.5307,102.3306,31.4575,0,99.2865,0
TCGA-AR-A0U3,45.1449,90.3688,25.687,109.8207,22.8876,0
TCGA-AR-A0U4,281.972,0,47.1474,7.8293,0,0
TCGA-AR-A1AH,188.9047,0,27.3283,0.4889,0,90.6047
TCGA-AR-A1AI,272.4072,0,11.0768,3.6529,8.0861,0
TCGA-AR-A1AJ,240.5389,0.0029,72.2091,8.2941,0,0
TCGA-AR-A1AK,64.1209,28.6687,59.9281,106.4815,52.4914,20.0831
TCGA-AR-A1AL,61.4025,0.0998,139.1547,131.3154,0,29.3493
