ID,1,2,3,4,5,6,7,8
TCGA-A8-A07B,108.0472,0.0011,101.7683,20.3187,75.7025,51.8862,64.3855,0
TCGA-A8-A07C,221.6521,0,22.2806,1.8715,4.5075,0,0,27.647
TCGA-A8-A07E,89.7136,0.0078,212.1512,85.8459,25.7445,31.8973,27.4122,14.0392
TCGA-A8-A07F,47.2493,0.0072,98.7853,113.7979,59.8233,0,34.3205,8.3488
TCGA-A8-A07G,67.8611,0.0083,301.3738,118.8816,48.8978,17.3677,33.8006,20.5701
TCGA-A8-A07I,57.6428,0.0005,185.7295,0,134.6058,0,106.3872,37.8068
TCGA-A8-A07J,47.8935,0.0669,244.4537,85.4808,29.0939,26.6194,0,72.0068
TCGA-A8-A07L,31.7992,0,99.278,0.1932,191.1755,55.8734,0.0017,0
TCGA-A8-A07O,206.4366,3.2644,33.4312,2.5694,6.1454,54.2981,0.0028,59.3179
TCGA-A8-A07P,2.0424,1.5694,93.1458,82.8397,187.0194,86.9061,14.2879,0
TCGA-A8-A07R,200.0391,0.1467,17.6654,0,24.298,26.0301,0.0882,162.2231
TCGA-A8-A07S,30.1051,0.012,64.0085,200.3688,39.7262,26.3248,25.1594,35.1895
TCGA-A8-A07U,125.9767,0.001,59.9752,1.9888,13.326,17.544,5.2485,255.2722
TCGA-A8-A07W,74.4759,0.0021,117.8015,0,181.8714,16.2777,3.5102,13.7958
TCGA-A8-A07Z,0.0005,1.912,35.8454,110.8483,151.5285,59.4457,0.1047,87.4081
TCGA-A8-A081,60.1196,0.0007,7.7297,57.1376,111.2527,0,66.3933,47.7845
TCGA-A8-A082,29.229,0,91.3592,41.8957,164.7754,47.45,33.1454,0
TCGA-A8-A083,0.5852,0.0023,6.6402,165.0305,86.4204,49.9331,0,31.2721
TCGA-A8-A084,39.611,0.0007,127.7217,89.9964,22.721,0,171.0665,97.8203
TCGA-A8-A085,26.6235,3.2072,124.4492,48.8064,168.0042,61.7754,0,0
TCGA-A8-A086,27.2499,1.7652,192.895,66.2444,137.4979,85.4235,0,0
TCGA-A8-A08A,8.3411,0,138.223,179.5493,33.8905,81.7796,54.4204,0
TCGA-A8-A08B,74.1035,0.0123,23.0142,30.601,19.1899,80.9083,282.9175,36.333
TCGA-A8-A08C,42.3722,0.0001,53.9868,227.7906,0,35.0394,41.5384,0
TCGA-A8-A08F,36.6766,18.3431,131.4303,18.3536,139.9322,30.1931,0.265,77.0195
TCGA-A8-A08G,15.463,71.3162,92.9848,0.0009,215.3368,45.4351,0.1695,27.9678
TCGA-A8-A08H,78.0601,0.0493,290.5696,16.5466,5.3257,75.0185,0.2683,170.2164
TCGA-A8-A08I,42.256,0.0365,5.0576,93.7736,71.6008,0,9.9128,211.2158
TCGA-A8-A08J,27.6788,64.1433,147.8131,0,139.42,41.9218,175.4793,0
TCGA-A8-A08L,116.1374,1.096,64.0321,0,76.4511,35.7115,53.7784,23.7655
TCGA-A8-A08O,49.1222,0.2031,144.4379,87.2453,103.3588,0,0,0.0006
TCGA-A8-A08P,47.8331,0.0061,96.7806,1.9946,118.1252,55.8109,18.8619,93.5118
TCGA-A8-A08R,196.2468,0,67.1307,0,18.0127,0,0.2675,93.5346
TCGA-A8-A08T,46.7067,2.3879,71.5107,104.4252,81.8047,69.8282,2.4069,0
TCGA-A8-A08X,107.903,0.0003,199.1363,0,0,82.4324,172.2203,30.9245
TCGA-A8-A08Z,75.3721,0.0478,261.1832,64.5316,37.5349,31.0175,0,20.6628
TCGA-A8-A090,22.6204,0,91.322,106.1363,135.4435,0,0,45.9067
TCGA-A8-A091,26.0378,436.3632,59.2967,28.0265,80.8218,0,0.0162,0
TCGA-A8-A092,52.6063,0.4596,69.7925,5.0351,155.5161,72.1236,66.867,0
TCGA-A8-A093,10.2386,0.4597,188.2009,136.1774,79.8979,76.4006,0,0
TCGA-A8-A094,80.722,0,70.1182,12.4653,36.2239,18.1709,241.6756,73.2932
TCGA-A8-A095,76.4642,0.0422,83.2861,140.1573,0,27.0005,38.908,12.6086
TCGA-A8-A096,30.0068,0.0128,195.1652,166.0965,20.9464,31.8318,20.985,77.2947
TCGA-A8-A097,71.7869,0.0003,210.236,44.5357,92.1913,0,56.0939,17.7348
TCGA-A8-A099,21.0393,3.1881,59.7343,161.9943,80.0396,0,34.7002,0
TCGA-A8-A09A,55.115,0.3899,157.6759,30.0973,166.7401,15.8112,0.5048,5.1183
TCGA-A8-A09B,18.3577,96.104,112.8119,121.816,77.9339,28.897,34.6467,10.9271
TCGA-A8-A09C,26.0695,0.1429,85.0599,104.1808,81.0746,115.1972,0,0
TCGA-A8-A09D,52.9938,18.4415,200.9284,0,123.5587,64.8781,0.114,31.0663
TCGA-A8-A09G,82.7802,0.0003,38.6784,74.0442,0,0,373.3374,18.6629
TCGA-A8-A09I,43.302,0.0317,80.9754,0,100.2843,41.7141,248.3781,52.1081
TCGA-A8-A09M,0.9965,2.1508,39.0015,56.7678,147.6421,79.5337,0,79.3519
TCGA-A8-A09N,32.1963,0.7117,87.64,71.8112,160.6614,33.8985,2.2556,0
TCGA-A8-A09Q,15.2654,0.3754,88.1507,75.1157,156.5245,128.3872,0,12.6038
TCGA-A8-A09R,32.9808,6.0398,189.0026,47.4666,130.1513,0,21.3268,54.982
TCGA-A8-A09T,24.6782,0.0024,115.732,87.2479,99.3255,60.7294,2.1895,5.448
TCGA-A8-A09V,42.0539,0.0248,130.8784,166.2797,26.1491,0,0,0.0001
TCGA-A8-A09W,24.935,0.003,73.9825,24.9573,163.6419,80.6894,122.1537,0
TCGA-A8-A09X,68.6523,0.0003,98.77,22.9562,35.404,135.3332,130.4598,47.0356
TCGA-A8-A09Z,14.881,0.0005,20.967,102.7664,98.4431,68.2789,4.4199,152.3357
TCGA-A8-A0A1,32.1155,15.1945,143.2073,144.2158,29.8364,0.3167,27.7824,94.4252
TCGA-A8-A0A2,10.7921,0.0092,115.1016,151.4606,90.1425,34.401,13.2964,0
TCGA-A8-A0A4,78.3618,1.2674,67.8148,140.3078,30.2045,45.8187,41.4759,19.2567
TCGA-A8-A0A6,54.5248,0.8483,42.9381,110.4064,0,18.4359,243.8342,105.673
TCGA-A8-A0A7,37.4539,0.0799,161.132,0,73.0567,104.5044,77.2891,163.0774
TCGA-A8-A0A9,15.3375,0.0018,116.7296,97.4248,121.2711,69.3288,0.0001,23.9461
TCGA-A8-A0AB,79.5512,0.0689,60.8252,130.832,52.2068,0,5.5231,0
TCGA-A8-A0AD,36.7011,0.3983,194.8074,134.7074,26.7126,0.0002,125.209,0
TCGA-AN-A03X,3.9535,0.2631,430.5243,39.8234,91.697,98.5774,46.6259,0
TCGA-AN-A03Y,24.614,0.0356,37.1164,62.929,116.944,198.3519,2.9221,0
TCGA-AN-A041,35.8088,591.5249,234.7791,0,44.3523,0,5.4217,0.2251
TCGA-AN-A046,0.0011,0.222,129.0134,171.324,53.5047,178.8617,20.786,53.3233
TCGA-AN-A049,18.0341,0.0945,141.389,89.9576,119.1937,51.8915,11.9986,81.6211
TCGA-AN-A04A,56.1143,45.1289,273.5958,27.5495,94.6324,132.5009,8.5494,0.0064
TCGA-AN-A04C,81.0917,0,14.5893,0,14.6204,236.518,220.3473,0
TCGA-AN-A04D,180.5542,0.0008,0,3.4875,17.0182,72.9838,5.6125,5.6331
TCGA-AN-A0AJ,76.31,0.0081,62.6654,6.252,119.7686,115.0553,0.1105,51.4263
TCGA-AN-A0AK,69.2101,0.2178,19.0986,0.0002,145.2176,96.4149,27.1461,0
TCGA-AN-A0AL,139.2114,0.1449,144.4371,5.0234,9.444,27.8219,0,210.0487
TCGA-AN-A0AM,75.6078,1.9909,112.2483,0.0034,88.375,101.5206,150.1328,93.701
TCGA-AN-A0AR,151.9011,0.0491,8.4849,0.6828,0,227.1235,0,8.0828
TCGA-AN-A0AS,66.5026,0.0036,292.8286,54.7115,36.518,152.9455,8.813,21.7342
TCGA-AN-A0AT,202.8997,0.0008,18.6738,0,0,100.5243,0.0024,37.0863
TCGA-AN-A0FD,8.9961,43.3431,225.2763,75.407,72.3125,177.2415,0,33.6786
TCGA-AN-A0FF,7.417,88.3834,93.0737,89.5628,98.4014,30.0492,0,75.7803
TCGA-AN-A0FJ,209.5819,0.0003,40.7437,3.6996,0,62.4472,0,18.517
TCGA-AN-A0FK,17.0869,0.0819,57.1927,238.0901,40.5342,43.4758,85.7881,25.8976
