1 2 3 4 5 6 7
TCGA-A8-A07I 21.458 3e-04 192.3889 0.2251 132.4711 9.4362 135.5031
TCGA-A8-A07J 59.7532 0.0687 253.9299 77.4587 38.0253 30.8279 0
TCGA-A8-A07L 0.2174 0 99.2231 0.0159 191.8407 63.2276 0.0063
TCGA-A8-A07O 217.7869 3.013 33.8241 0 21.3497 68.2626 1.3445
TCGA-A8-A07P 0 1.664 89.9264 69.9911 177.0622 82.351 9.5126
TCGA-A8-A07R 267.885 0.1547 18.1572 0 30.0684 32.3027 0.1659
TCGA-A8-A07S 20.6719 0.0118 63.9095 214.2437 38.1925 25.3329 34.5026
TCGA-A8-A07U 247.3056 0.0013 63.0719 15.7741 0.0036 0 17.0707
TCGA-A8-A07W 37.8706 0.0019 118.8083 0 186.3432 36.6066 4.9812
TCGA-A8-A07Z 1.4339 2.1125 36.3907 122.2221 142.6817 58.4858 27.247
TCGA-A8-A081 52.8068 6e-04 8.2286 52.4269 111.3768 8.3653 80.9569
TCGA-A8-A082 2.9047 0 91.7571 28.6569 168.2061 56.8482 34.2034
TCGA-A8-A083 0.9372 0.0023 5.0405 172.6583 82.728 45.1476 1.493
TCGA-A8-A084 29.6081 6e-04 131.8743 93.3705 15.5175 0 233.313
TCGA-A8-A085 0 3.2485 125.392 29.6087 179.2399 70.2082 0
TCGA-A8-A086 2.3891 1.7673 193.1151 50.6029 146.0141 93.1909 0
TCGA-A8-A08A 0.0146 0 134.7123 183.108 30.5554 74.5451 50.8007
TCGA-A8-A08B 40.3704 0.012 26.9525 28.2045 19.9524 73.2147 329.2681
TCGA-A8-A08C 16.2675 0 53.6162 237.5244 7.864 37.7832 43.7582
TCGA-A8-A08F 53.5734 18.4099 136.0435 20.0903 132.7216 30.4683 0.0067
TCGA-A8-A08G 6.1146 68.6219 95.439 0.16 206.4127 45.1628 0.2889
TCGA-A8-A08H 140.4572 0.0778 313.4089 19.7148 0 69.8196 1.2899
TCGA-A8-A08I 141.8661 0.0365 4.7135 92.3245 51.0962 0 20.0721
TCGA-A8-A08J 2.876 62.6708 146.5442 0 118.1056 34.1409 201.281
TCGA-A8-A08L 90.4324 1.0139 65.2067 0 88.9173 45.9144 63.2666
TCGA-A8-A08O 12.0994 0.1959 147.3508 67.9688 120.7536 26.1264 0
TCGA-A8-A08P 71.2402 0.0063 101.5142 3.8163 104.9448 51.1919 43.3628
TCGA-A8-A08R 238.0188 0 67.325 0 24.6166 0 0.6611
TCGA-A8-A08T 20.3009 2.3327 71.9866 103.0437 90.5753 78.2207 2.1723
TCGA-A8-A08X 89.7448 1e-04 200.4956 0 2.1872 81.8768 191.6921
TCGA-A8-A08Z 57.6274 0.0472 264.6984 55.1419 52.4336 43.2143 0
TCGA-A8-A090 25.3967 0 92.6392 106.6803 132.2434 0 0
TCGA-A8-A091 3.6249 429.9934 62.4081 15.7839 98.1113 0 0
TCGA-A8-A092 17.5855 0.449 70.8679 0.1633 156.4263 77.9796 79.9417
TCGA-A8-A093 0 0.4642 186.3381 125.9792 81.6165 76.3589 0
TCGA-A8-A094 82.4944 0 74.3852 17.8225 28.3369 5.62 266.6188
TCGA-A8-A095 49.8243 0.0379 84.8693 129.308 30.6314 36.2884 35.7385
TCGA-A8-A096 45.2502 0.0125 201.4659 167.1261 20.792 27.4714 33.5097
TCGA-A8-A097 42.67 0 212.1039 34.4628 101.5956 20.3215 56.8539
TCGA-A8-A099 2.6826 3.2193 58.1759 169.5457 76.1622 0 36.0108
TCGA-A8-A09A 27.9729 0.3829 158.5048 17.8971 173.022 30.374 0
TCGA-A8-A09B 7.1307 95.044 112.3619 120.0862 77.9593 27.0967 35.6363
TCGA-A8-A09C 8e-04 0.1423 86.7256 92.3256 97.0598 120.9375 0
TCGA-A8-A09D 37.4926 17.6589 205.0589 0 126.9809 70.7339 0.2781
TCGA-A8-A09G 34.22 2e-04 44.0454 72.1762 3.3996 0 403.0475
TCGA-A8-A09I 18.3413 0.0321 87.0758 0 88.029 31.3851 297.8556
TCGA-A8-A09M 17.1356 2.2014 40.4528 63.7362 137.5008 74.5917 7.1985
TCGA-A8-A09N 6.857 0.704 86.8464 66.1408 161.1661 42.5452 5.0537
TCGA-A8-A09Q 1.6349 0.3785 88.9833 70.4922 154.4425 128.2056 0
TCGA-A8-A09R 33.7533 6.4047 192.2905 45.0752 123.7243 1e-04 36.3365
TCGA-A8-A09T 8.7347 0.0023 116.2206 80.0515 103.1378 65.6008 2.0474
TCGA-A8-A09V 7.0122 0.0246 134.8513 157.7351 52.1289 10.3041 0
TCGA-A8-A09W 0.0578 0.0029 73.0585 30.0028 144.968 76.1952 136.6045
TCGA-A8-A09X 55.6329 2e-04 104.0387 12.9822 41.3268 131.826 161.1052
TCGA-A8-A09Z 74.8654 5e-04 20.9425 106.5395 80.2402 54.4153 36.6996
TCGA-A8-A0A1 56.3811 15.0468 149.6205 150.7425 22.0895 0 38.3388
TCGA-A8-A0A2 0.1969 0.0091 112.2501 152.0991 85.0832 34.1695 11.1689
TCGA-A8-A0A4 67.1839 1.2572 67.5512 143.537 37.7191 50.5772 37.0271
TCGA-A8-A0A6 69.599 0.8699 48.5234 113.3054 0 0 269.7908
TCGA-A8-A0A7 96.4812 0.082 171.941 0 43.8443 85.4426 132.8022
TCGA-A8-A0A9 5.8025 0.0017 117.7732 95.6172 120.6626 71.0139 0.2457
TCGA-A8-A0AB 26.6148 0.0667 64.5037 119.2704 86.2097 28.3748 5.5936
TCGA-A8-A0AD 0.0379 0.3816 197.3912 122.7039 37.3998 16.4433 126.6751
TCGA-AN-A03X 0 0.2749 422.3214 33.1942 78.3503 94.0623 45.4878
TCGA-AN-A03Y 2.1142 0.0346 37.3341 52.4476 128.34 198.5746 2.5354
TCGA-AN-A041 14.203 571.1023 235.128 0 54.3756 0 6.3873
