ID,1,2,3,4,5
TCGA-A8-A09D,61.0734,79.1928,207.2426,0,67.1758
TCGA-A8-A09G,0.7515,0,39.7821,101.7645,229.5964
TCGA-A8-A09I,8.5525,7.0747,76.9679,68.3874,227.6017
TCGA-A8-A09M,19.0316,78.5909,38.861,81.0493,86.2111
TCGA-A8-A09N,0.9304,73.4686,87.9829,90.1888,93.7784
TCGA-A8-A09Q,44.6456,60.2555,85.8451,150.206,49.7384
TCGA-A8-A09R,0.334,76.7907,195.1844,32.519,104.4609
TCGA-A8-A09T,30.3125,84.7358,123.7718,71.6206,22.9007
TCGA-A8-A09V,2.8443,77.5061,161.9111,87.2329,5.2591
TCGA-A8-A09W,7.2424,0.0454,64.2323,152.4133,163.6006
TCGA-A8-A09X,106.6419,0,97.3961,77.4549,104.855
TCGA-A8-A09Z,24.5798,8.2147,22.352,142.6458,143.6785
TCGA-A8-A0A1,3.789,18.6309,164.1517,126.9995,80.5431
TCGA-A8-A0A2,1.5091,60.6679,126.1172,151.4291,17.0766
TCGA-A8-A0A4,76.231,56.276,85.5761,103.2985,19.9471
TCGA-A8-A0A6,27.6119,0.421,53.2529,178.1984,103.092
TCGA-A8-A0A7,94.824,0.1371,165.3864,20.5658,165.3966
TCGA-A8-A0A9,14.2674,51.9843,121.1588,133.0932,57.279
TCGA-A8-A0AB,24.0845,73.5171,76.6682,88.7271,33.6184
TCGA-A8-A0AD,0.0393,31.8382,213.0297,140.6834,36.374
TCGA-AN-A03X,30.9935,25.5332,423.2244,104.5031,33.5691
TCGA-AN-A03Y,125.3349,67.2023,36.581,103.5671,0
TCGA-AN-A041,0.4272,220.5228,230.8148,0,2.1097
TCGA-AN-A046,57.9376,0.2117,129.478,270.4313,14.3452
TCGA-AN-A049,9.8528,41.1564,146.6389,119.6967,105.1477
TCGA-AN-A04A,108.8217,92.9716,278.7093,34.0419,0
TCGA-AN-A04C,185.5012,0,11.9023,50.1428,108.6217
TCGA-AN-A04D,188.7372,15.9118,0,0,37.2149
TCGA-AN-A0AJ,114.0892,34.3814,60.2315,39.3314,99.6471
TCGA-AN-A0AK,85.8254,100.8237,19.2025,0,73.2432
TCGA-AN-A0AL,166.2704,0.1072,154.9598,11.1356,69.1168
TCGA-AN-A0AM,91.0857,20.5785,106.1612,58.3672,166.2853
TCGA-AN-A0AR,281.7584,1.3959,11.9026,3.2144,0
TCGA-AN-A0AS,131.0514,0.0145,293.3816,94.4988,21.7115
TCGA-AN-A0AT,242.2696,1.8249,23.6045,0,25.1293
TCGA-AN-A0FD,97.1959,60.139,225.173,104.1277,0
TCGA-AN-A0FF,0.6673,102.1114,103.8474,70.1213,60.301
TCGA-AN-A0FJ,227.659,10.7421,49.9292,0.0107,0.0006
TCGA-AN-A0FK,1.2218,15.2946,62.4825,267.021,46.5028
TCGA-AN-A0FL,207.8507,0,3.0226,33.3762,73.6859
TCGA-AN-A0FN,74.9862,0.0566,474.1303,79.4711,0
TCGA-AN-A0FS,42.4126,30.3249,175.4215,147.2912,0
TCGA-AN-A0FT,43.7362,0.0359,85.7191,160.6255,123.9094
TCGA-AN-A0FV,23.8201,0.1631,172.3804,39.8784,228.4359
TCGA-AN-A0FW,62.8762,159.8126,76.5788,55.3007,0
TCGA-AN-A0FX,228.9769,4.0861,107.6204,0.2615,0
TCGA-AN-A0FY,86.264,95.422,150.5888,1.1446,13.7495
TCGA-AN-A0FZ,5.3979,101.0546,114.1541,27.976,122.4797
TCGA-AN-A0G0,156.801,9.2818,62.0775,0,93.4637
TCGA-AN-A0XL,20.1869,37.9333,170.0203,112.0566,34.3464
TCGA-AN-A0XN,88.001,0,485.053,32.8669,41.9302
TCGA-AN-A0XO,70.0228,40.2555,147.0231,139.8212,28.4822
TCGA-AN-A0XP,0.0303,1.3121,94.4634,197.97,84.9053
TCGA-AN-A0XR,0.0834,0.0605,65.0803,160.6224,114.1027
TCGA-AN-A0XS,31.6607,65.0328,192.868,64.781,26.3387
TCGA-AN-A0XT,46.8858,120.7962,31.9553,71.1079,0
TCGA-AN-A0XU,173.0964,0,26.3376,0,96.7557
TCGA-AN-A0XV,35.4119,90.6716,123.522,81.8686,13.4699
TCGA-AN-A0XW,60.5056,5.6709,268.9771,52.1129,97.8295
TCGA-AO-A03L,51.3964,37.0447,134.3609,75.6196,91.0378
TCGA-AO-A03O,31.3964,45.0311,17.0255,65.8765,153.6615
TCGA-AO-A03P,98.2737,172.7161,36.4472,8.2476,0
TCGA-AO-A03R,142.6647,66.6774,10.3878,97.4081,0
TCGA-AO-A03T,84.8587,57.8848,20.133,128.1975,49.5302
TCGA-AO-A03V,35.0114,37.6125,80.9493,146.6827,35.0579
TCGA-AO-A0J2,68.493,0,28.865,60.3887,207.1558
TCGA-AO-A0J3,19.7789,185.9967,6.0618,6.828,2.1224
TCGA-AO-A0J4,218.5122,0,77.8198,0,46.5956
TCGA-AO-A0J6,195.8924,0.8036,9.5879,0.2159,76.0995
TCGA-AO-A0J7,37.2138,96.1783,52.5182,150.2553,0
TCGA-AO-A0J8,5.3722,0,121.9566,216.3976,59.5401
TCGA-AO-A0J9,183.8919,0.0058,143.678,109.1811,0
TCGA-AO-A0JA,9.4658,27.792,235.3202,90.6097,85.5523
TCGA-AO-A0JB,256.5365,0.0006,13.2181,147.0317,0
TCGA-AO-A0JC,176.573,0.006,21.4073,43.7849,0
TCGA-AO-A0JD,77.7914,33.6004,5.8763,81.8967,119.3923
TCGA-AO-A0JE,33.8869,0.0064,252.0533,83.7704,163.3524
TCGA-AO-A0JF,22.1061,1.5423,264.0314,157.5017,27.1913
TCGA-AO-A0JG,22.215,130.4974,103.8214,32.855,20.5729
TCGA-AO-A0JI,0.1688,233.837,15.4938,1.4982,0.0211
TCGA-AO-A0JJ,60.3846,6.566,140.7089,144.4719,25.6519
TCGA-AO-A0JL,277.0645,0.5903,33.4529,9.0694,8.0851
TCGA-AO-A0JM,11.7319,2.8034,210.038,97.5228,149.947
TCGA-AO-A124,246.0278,0.0096,5.5213,1.654,38.5575
TCGA-AO-A125,24.5346,0.2434,1.4927,260.9536,0.0055
TCGA-AO-A126,106.0314,1.0771,221.5099,150.6331,0
TCGA-AO-A128,105.7997,0,22.2724,14.7043,170.6303
TCGA-AO-A129,248.6925,0.0004,39.6753,1.3477,19.3862
TCGA-AO-A12A,66.3106,5.1593,113.0391,141.6261,20.7941
TCGA-AO-A12B,1.722,24.9583,2.441,280.9583,35.2864
TCGA-AO-A12C,55.997,55.287,301.4986,110.4513,0.4943
TCGA-AO-A12D,7.3116,0,135.4256,61.5445,282.6956
TCGA-AO-A12E,21.3605,56.4343,55.4453,116.5842,75.0672
TCGA-AO-A12F,234.6719,0.8338,81.0576,0,13.746
TCGA-AO-A12G,86.0108,52.5085,104.5632,137.7412,5.2282
