1 2 3
TCGA-BH-A0BZ 115.4421 36.82 193.8724
TCGA-BH-A0C0 120.0612 53.0355 40.5922
TCGA-BH-A0C3 43.8684 63.0188 252.7106
TCGA-BH-A0DD 39.8266 99.3037 81.0153
TCGA-BH-A0DE 40.7048 78.5595 156.3079
TCGA-BH-A0DG 72.8862 41.9419 300.3619
TCGA-BH-A0DH 9.5172 144.2708 79.8195
TCGA-BH-A0DI 82.8126 17.0668 470.7614
TCGA-BH-A0DK 79.6292 75.5973 174.3211
TCGA-BH-A0DL 215.5836 0 24.1209
TCGA-BH-A0DP 75.1133 56.9258 232.3681
TCGA-BH-A0DQ 50.7656 56.8565 301.2508
TCGA-BH-A0DS 81.5102 76.3652 160.8129
TCGA-BH-A0DT 60.9429 72.0107 158.4204
TCGA-BH-A0DX 81.3891 34.08 334.595
TCGA-BH-A0DZ 120.4839 34.7805 284.7688
TCGA-BH-A0E0 238.2588 1.4722 4.5139
TCGA-BH-A0E1 15.9769 144.5893 117.7879
TCGA-BH-A0E2 84.991 77.7021 145.7917
TCGA-BH-A0E6 242.578 0.1281 29.075
TCGA-BH-A0E7 0.6145 123.9742 101.4512
TCGA-BH-A0EA 65.8816 50.717 185.4463
TCGA-BH-A0EB 47.5286 91.747 195.4609
TCGA-BH-A0EE 184.9411 37.2429 0
TCGA-BH-A0EI 24.1925 74.3873 317.2778
TCGA-BH-A0GY 102.5726 56.223 119.9952
TCGA-BH-A0GZ 55.293 87.1265 170.8665
TCGA-BH-A0H0 22.235 120.4568 12.1556
TCGA-BH-A0H3 59.2047 50.9218 236.9535
TCGA-BH-A0H5 120.4802 39.356 86.9338
TCGA-BH-A0H6 27.6118 77.521 236.5334
TCGA-BH-A0H7 61.2674 57.1947 406.3711
TCGA-BH-A0H9 58.3797 96.6222 78.1439
TCGA-BH-A0HA 36.8753 105.3087 254.0565
TCGA-BH-A0HB 100.5161 86.7169 67.8962
TCGA-BH-A0HF 86.1746 61.4087 243.0282
TCGA-BH-A0HI 12.8449 127.1591 147.205
TCGA-BH-A0HK 105.3127 77.3595 106.1833
TCGA-BH-A0HL 0.0268 125.9483 34.5702
TCGA-BH-A0HN 2.4104 149.7278 23.1656
TCGA-BH-A0HO 0.4008 187.4025 59.8263
TCGA-BH-A0HP 80.088 71.5161 147.9933
TCGA-BH-A0HQ 49.363 76.3127 225.8088
TCGA-BH-A0HU 106.9519 68.1811 46.649
TCGA-BH-A0HW 0.063 157.9056 16.7425
TCGA-BH-A0HX 45.0885 97.0492 139.4895
TCGA-BH-A0HY 108.1901 55.4235 214.8613
TCGA-BH-A0RX 223.5838 0.1385 78.2156
TCGA-BH-A0W3 0.0341 124.4852 36.0835
TCGA-BH-A0W4 41.0889 81.5462 200.1701
TCGA-BH-A0W5 62.455 61.5485 165.8922
TCGA-BH-A0W7 100.4236 45.9029 204.0177
TCGA-BH-A0WA 186.2917 0 79.1489
TCGA-BH-A18F 78.1409 36.8803 205.7441
TCGA-BH-A18G 268.4925 0 88.5585
TCGA-BH-A18H 50.2173 111.2545 58.9286
TCGA-BH-A18I 46.2295 49.6562 284.8327
TCGA-BH-A18J 83.0941 61.6229 210.9112
TCGA-BH-A18K 75.1435 57.1293 212.2585
TCGA-BH-A18L 19.0461 136.991 9.169
TCGA-BH-A18M 54.8968 63.6797 255.4636
TCGA-BH-A18N 0.072 135.3653 59.9415
TCGA-BH-A18P 57.0959 59.7495 154.3025
TCGA-BH-A18Q 178.8531 7.1812 23.2837
TCGA-BH-A18R 91.5332 73.6722 57.7494
TCGA-BH-A18S 1.5897 150.4956 21.4591
TCGA-BH-A18T 211.5009 0 18.5534
TCGA-BH-A18U 80.7445 87.4303 136.6094
TCGA-BH-A18V 187.0422 0 80.1431
TCGA-BH-A1EO 61.7266 33.7371 357.6238
TCGA-BH-A1ES 54.2384 73.2065 146.7648
TCGA-BH-A1ET 2.9148 110.8699 153.6246
TCGA-BH-A1EU 32.3091 68.5041 203.4457
TCGA-BH-A1EV 86.1865 60.7478 219.4287
TCGA-BH-A1EW 53.9442 88.0429 66.3701
TCGA-BH-A1F0 156.6433 0.0174 101.1562
TCGA-C8-A12K 203.9271 0 32.2195
TCGA-C8-A12L 167.9296 6.1021 98.3966
TCGA-C8-A12M 12.0765 135.261 32.2408
TCGA-C8-A12N 64.0084 55.5917 308.4557
TCGA-C8-A12O 74.3195 63.4039 266.8177
TCGA-C8-A12P 147.7062 5.605 224.0911
TCGA-C8-A12Q 117.0802 29.0489 196.6291
TCGA-C8-A12T 154.1743 28.115 307.8208
TCGA-C8-A12U 77.7891 91.6406 4.8741
TCGA-C8-A12V 175.6578 0 39.3477
TCGA-C8-A12W 54.4399 73.299 245.2737
TCGA-C8-A12X 45.509 117.3311 34.2205
TCGA-C8-A12Y 88.2923 83.6228 96.0529
TCGA-C8-A12Z 150.88 45.018 186.6815
TCGA-C8-A130 112.956 37.6827 101.7077
TCGA-C8-A131 190.1065 0.0083 196.1516
TCGA-C8-A132 80.1234 48.0521 253.1241
TCGA-C8-A133 0.0152 198.4928 2.2865
TCGA-C8-A134 175.8708 0.768 26.715
TCGA-C8-A135 172.2465 27.3727 143.7722
TCGA-C8-A137 138.1398 20.001 170.4918
TCGA-C8-A138 127.3236 30.7096 176.678
TCGA-C8-A1HF 165.9213 0.0037 207.9286
TCGA-C8-A1HG 106.5156 65.0355 58.0879
TCGA-C8-A1HI 39.3758 128.4705 66.0519
TCGA-C8-A1HL 90.8438 73.1815 114.9058
TCGA-C8-A1HM 105.0819 62.6841 27.2557
TCGA-C8-A1HN 43.4569 98.0077 55.5088
TCGA-D8-A13Y 61.5922 57.2767 44.4734
TCGA-D8-A13Z 145.0062 10.7394 138.1348
TCGA-D8-A140 12.1523 114.2969 78.7122
TCGA-D8-A141 79.6222 16.4429 423.6601
TCGA-D8-A142 161.3323 0 221.2581
TCGA-D8-A143 191.0336 2.3458 23.415
TCGA-D8-A145 46.3543 63.2026 167.8611
TCGA-D8-A147 161.1559 0.2089 41.6191
TCGA-E2-A105 46.4233 99.1535 36.4871
TCGA-E2-A106 5.8309 154.1949 38.9376
TCGA-E2-A107 37.7378 112.9984 32.5342
TCGA-E2-A108 123.2265 8.976 239.8724
TCGA-E2-A109 45.7614 90.1563 104.5325
TCGA-E2-A10A 4.2916 107.4327 130.1075
TCGA-E2-A10B 10.9346 108.3631 145.0622
TCGA-E2-A10C 94.0691 74.3844 49.6879
TCGA-E2-A10E 11.5466 125.9183 143.6329
TCGA-E2-A10F 54.2727 51.2193 280.3414
TCGA-E2-A14N 218.4737 0.1126 3.9443
TCGA-E2-A14O 25.6593 173.9785 69.7343
TCGA-E2-A14P 172.5141 27.3604 25.5961
TCGA-E2-A14Q 54.1475 90.226 84.1004
TCGA-E2-A14R 209.8949 0 7.9998
TCGA-E2-A14S 28.6344 128.0114 18.4572
TCGA-E2-A14T 21.4996 140.8245 60.3868
TCGA-E2-A14V 95.8175 66.6421 115.8383
TCGA-E2-A14W 29.2534 132.4195 50.1049
TCGA-E2-A14X 198.5004 3.3811 30.0382
TCGA-E2-A14Y 252.5525 0 19.8043
TCGA-E2-A14Z 121.9582 47.0561 109.48
TCGA-E2-A150 190.6888 0 68.5003
TCGA-E2-A152 101.1448 17.7458 320.6113
TCGA-E2-A153 70.5144 48.1249 420.5062
TCGA-E2-A154 36.176 93.0628 142.2245
TCGA-E2-A155 14.5616 137.0653 30.9136
TCGA-E2-A156 0.0554 131.3713 26.0429
TCGA-E2-A158 199.9207 0.4338 0
TCGA-E2-A159 164.8755 0.1035 77.8531
TCGA-E2-A15A 51.4324 88.1746 116.1321
TCGA-E2-A15C 18.058 94.4013 176.9697
TCGA-E2-A15D 44.8118 72.26 139.7076
TCGA-E2-A15E 65.9419 72.7675 124.6775
TCGA-E2-A15F 9.2319 129.3374 55.924
TCGA-E2-A15G 1.6094 123.9004 54.6322
TCGA-E2-A15H 56.8361 85.022 152.5543
TCGA-E2-A15I 22.2998 92.277 108.0141
TCGA-E2-A15J 65.8557 111.8265 72.1895
TCGA-E2-A15K 49.3164 81.4966 104.6408
TCGA-E2-A15L 22.9928 85.0238 259.6181
TCGA-E2-A15M 70.5132 53.9578 169.1316
TCGA-E2-A15O 18.308 106.8881 38.7434
TCGA-E2-A15P 8.0728 120.3168 102.8986
TCGA-E2-A15R 2.0293 119.7409 57.6528
TCGA-E2-A15S 14.4057 124.999 20.3098
TCGA-E2-A15T 8.6184 129.3081 25.1324
TCGA-E2-A1AZ 140.4843 0.0019 116.8802
TCGA-E2-A1B0 154.0452 7.0828 177.214
TCGA-E2-A1B1 84.4867 32.5665 258.0038
TCGA-E2-A1B4 18.7608 122.5489 97.5604
TCGA-E2-A1B5 125.1827 59.6653 53.5523
TCGA-E2-A1B6 197.8533 0.5464 2.7405
TCGA-E2-A1BC 27.6378 59.6966 265.291
TCGA-E2-A1BD 83.6077 78.7096 101.8898
